URLs,Price,#Ratings
https://www.amazon.co.uk/Bluetooth-Headphones-Earphones-Cancelling-Waterproof-Red/product-reviews/B0BM3T3Q5K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,19,166 ratings
https://www.amazon.co.uk/Betron-Isolating-Headphones-Smartphones-Microphone-Gold/product-reviews/B079GFY21T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,10,"8,462 ratings"
https://www.amazon.co.uk/gorsun-Headphones-decorative-children-Blue-blue/product-reviews/B083RSDZHJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,12,"2,623 ratings"
https://www.amazon.co.uk/Marshall-Major-Foldable-Bluetooth-Headphones-Black/product-reviews/B08KHT2HDT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,129,"4,723 ratings"
https://www.amazon.co.uk/Bluetooth-Headphones-Microphone-Lightweight-Cellphone-purple/product-reviews/B089FTMVM5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,19,"15,057 ratings"
https://www.amazon.co.uk/Lankey-Pro-Headphones-Microphone-Waterproof-Black/product-reviews/B0BL3LJL51/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,19,54 ratings
https://www.amazon.co.uk/Headphones-Wireless-Bluetooth-Childrens-Microphone-Pink/product-reviews/B08ZSD8KJ3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,17,217 ratings
https://www.amazon.co.uk/Headphones-Bluetooth-Headband-Wireless-Waterproof-grey/product-reviews/B083Z2DBML/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,14,"9,097 ratings"
https://www.amazon.co.uk/Headphones-foldable-lightweight-Children-Headphones-Yellow-Yellow/product-reviews/B07H2XHPN5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,12,"1,788 ratings"
https://www.amazon.co.uk/Kimwood-Headphones-Earphones-Microphone-Compatible-White/product-reviews/B0BD1WP1L6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,9,131 ratings
https://www.amazon.co.uk/Veho-Headphones-Isolating-Earbuds-Earphones/product-reviews/B0063W8VAK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,11,"1,242 ratings"
https://www.amazon.co.uk/Headphones-LAIBUY-Foldable-Bluetooth-Headphone-Purple/product-reviews/B09NN384Q3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,19,196 ratings
https://www.amazon.co.uk/Earphones-Microphone-Ear-Headphones-Reinforced-Pink/product-reviews/B07VNX5NTF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,14,"23,297 ratings"
https://www.amazon.co.uk/Razer-Blackshark-USB-sound-card-Black/product-reviews/B089SSH6L6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,83,"3,891 ratings"
https://www.amazon.co.uk/Sennheiser-MX-375-Ear-Headphones-Black/product-reviews/B0076Z7668/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,14,"2,333 ratings"
https://www.amazon.co.uk/JBL-Wireless-Bluetooth-Headphones-Charging-Blue/product-reviews/B09KVGZ7VY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,39,924 ratings
https://www.amazon.co.uk/Headphones-LAIBUY-Foldable-Bluetooth-Headphone-pink/product-reviews/B095PQRL9Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,16,546 ratings
https://www.amazon.co.uk/RockPapa-Adjustable-Headphones-Lightweight-Tablets-Black/product-reviews/B0144Y4SSC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,7,399 ratings
https://www.amazon.co.uk/Soundcore-Cancelling-Wireless-Charging-Sleeping-Navy-Blue/product-reviews/B093SL1W2H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,69,"21,511 ratings"
https://www.amazon.co.uk/Samsung-EO-IC100BBEGEU-headphones-headset-Binaural-Black/product-reviews/B0819X67PZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,13,"6,350 ratings"
